Player,Age,Pos,GP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48
Alaa Abdelnaby,22.0219028062971,Frontcourt,256,12.5,5.7,3.3,0.3,0.3,0.3,0.502,0,0.701,0.072
Jacque Vaughn,22.3832991101985,Backcourt,776,16.3,4.5,1.3,2.5,0.5,0,0.429,0.352,0.779,0.058
Jawann Oldham,22.9500342231348,Frontcourt,329,15.9,4.4,4.1,0.5,0.3,1.7,0.479,0,0.607,0.039
Rasheed Wallace,20.7912388774812,Frontcourt,1109,32.7,14.4,6.7,1.8,1,1.3,0.467,0.336,0.721,0.139
Terry Mills,22.5311430527036,Frontcourt,678,24.2,10.6,5.4,1.3,0.6,0.4,0.457,0.384,0.781,0.097
Charlie Sitton,21.9774127310062,Frontcourt,43,7.1,2.1,1.4,0.6,0.2,0.1,0.415,0,0.52,0.008
Terry Catledge,21.8377823408624,Frontcourt,515,26.3,12.7,6.4,0.9,0.6,0.2,0.485,0.094,0.654,0.074
Anthony Parker,22.0328542094456,Backcourt,494,27.8,9.1,3.2,2.3,0.9,0.2,0.444,0.404,0.794,0.085
Mike Smrek,22.8131416837782,Frontcourt,194,9.7,2.9,2.2,0.3,0.2,0.8,0.431,0,0.617,0.018
Danny Schayes,22.0985626283368,Frontcourt,1138,19.3,7.7,5,1.1,0.5,0.7,0.481,0.133,0.806,0.107
Manute Bol,22.6872005475702,Frontcourt,624,18.7,2.6,4.2,0.3,0.2,3.3,0.407,0.21,0.561,0.051
Greg Dreiling,23.6242299794661,Frontcourt,474,8.9,2.1,2.1,0.4,0.2,0.3,0.467,0.333,0.649,0.045
Wesley Person,23.2710472279261,Backcourt,733,28.3,11.2,3.3,1.7,0.8,0.3,0.457,0.418,0.778,0.102
Greg Anderson,23.0136892539357,Frontcourt,680,20.6,7.3,6.2,0.6,0.7,0.9,0.492,0.087,0.557,0.064
Fred Roberts,21.8870636550308,Frontcourt,818,18,7.3,2.8,1.2,0.5,0.3,0.502,0.325,0.796,0.086
Keith Smith,22.2874743326489,Backcourt,42,11,3.3,0.8,1,0.6,0.1,0.38,0.333,0.75,-0.003
Rich King,22.2409308692676,Frontcourt,72,4.3,1.9,1,0.3,0.1,0.1,0.393,0,0.662,0.036
Pete Chilcutt,22.7939767282683,Frontcourt,584,14.4,4.3,3.3,0.8,0.5,0.4,0.441,0.381,0.696,0.06
Glenn Robinson,21.4791238877481,Frontcourt,688,36.8,20.7,6.1,2.7,1.2,0.6,0.459,0.34,0.82,0.075
Dee Brown,21.5886379192334,Backcourt,608,27.7,11.1,2.6,3.7,1.3,0.3,0.436,0.357,0.825,0.095
Vin Baker,21.6160164271047,Frontcourt,791,32.5,15,7.4,1.9,0.7,1,0.485,0.215,0.638,0.088
Tellis Frank,22.1697467488022,Frontcourt,264,17.8,6.5,3.9,1,0.6,0.4,0.439,0,0.741,0.041
Milt Wagner,23.3367556468173,Backcourt,53,9.4,4.1,0.7,1.4,0.2,0.1,0.422,0.296,0.875,0.039
Shandon Anderson,22.5010266940452,Frontcourt,719,22.2,7.4,3.1,1.4,0.8,0.3,0.457,0.316,0.739,0.071
Cedric Ceballos,20.9144421629021,Frontcourt,609,24.2,14.3,5.3,1.2,0.7,0.3,0.5,0.309,0.753,0.132
Gheorghe Muresan,22.3887748117728,Frontcourt,307,21.9,9.8,6.4,0.5,0.6,1.5,0.573,0,0.644,0.136
Audie Norris,21.5420944558522,Frontcourt,187,13.8,4.4,3.1,0.8,0.5,0.4,0.511,0,0.662,0.054
Benoit Benjamin,20.5831622176591,Frontcourt,807,27.2,11.4,7.5,1.3,0.6,2,0.497,0.048,0.721,0.072
Matt Steigenga,22.2600958247775,Frontcourt,2,6,1.5,1.5,1,0.5,0.5,0.25,0,0.5,-0.126
Dave Greenwood,22.0930869267625,Frontcourt,823,28.4,10.2,7.9,2,0.7,0.9,0.477,0.138,0.765,0.095
Stuart Gray,21.0793976728268,Frontcourt,386,9,2.3,2.6,0.4,0.2,0.3,0.446,0,0.663,0.046
Brian Evans,22.7994524298426,Frontcourt,102,10.8,3.7,1.6,0.8,0.3,0.2,0.381,0.343,0.82,0.076
