,X,Season,Team,FG,FGA,TPA,TP.,PF_1
1,1,2009-10,ATL*,3181,6801,1455,0.36,1631.8
2,2,2009-10,BOS*,3039,6294,1433,0.348,1816.3
3,3,2009-10,CHA*,2858,6306,1331,0.346,1597.36
4,4,2009-10,CHI*,3081,6825,1066,0.33,1648.2
5,5,2009-10,CLE*,3101,6391,1582,0.381,1590.8
6,6,2009-10,DAL*,3140,6760,1498,0.372,1562.92
7,7,2009-10,DEN*,3124,6678,1517,0.359,1844.18
8,8,2009-10,DET,2940,6602,1190,0.314,1822.04
9,9,2009-10,GSW,3329,7094,1687,0.375,1886
10,10,2009-10,HOU,3094,6923,1838,0.351,1712.16
11,11,2009-10,IND,3020,6823,1896,0.348,1848.28
12,12,2009-10,LAC,3002,6601,1457,0.332,1580.96
13,13,2009-10,LAL*,3144,6875,1562,0.341,1591.62
14,14,2009-10,MEM,3223,6875,1020,0.337,1654.76
15,15,2009-10,MIA*,2984,6518,1426,0.346,1709.7
16,16,2009-10,MIL*,3050,6998,1813,0.356,1822.86
17,17,2009-10,MIN,3106,6923,1181,0.341,1699.04
18,18,2009-10,NJN,2813,6554,1185,0.318,1643.28
19,19,2009-10,NOH,3178,6842,1572,0.363,1606.38
20,20,2009-10,NYK,3127,6876,2145,0.346,1638.36
21,21,2009-10,OKC*,3063,6629,1229,0.34,1743.32
22,22,2009-10,ORL*,3005,6394,2241,0.375,1629.34
23,23,2009-10,PHI,3087,6706,1381,0.343,1676.9
24,24,2009-10,PHO*,3339,6788,1770,0.412,1712.98
25,25,2009-10,POR*,2974,6453,1388,0.354,1714.62
26,26,2009-10,SAC,3144,6895,1383,0.349,1826.96
27,27,2009-10,SAS*,3150,6659,1547,0.358,1668.7
28,28,2009-10,TOR,3199,6631,1397,0.371,1818.76
29,29,2009-10,UTA*,3227,6575,1207,0.364,1858.94
30,30,2009-10,WAS,3008,6700,1225,0.353,1752.34
31,31,2010-11,ATL*,2971,6429,1427,0.352,1553.9
32,32,2010-11,BOS*,3023,6219,1119,0.365,1677.7
33,33,2010-11,CHA,2873,6365,1203,0.327,1636.7
34,34,2010-11,CHI*,3042,6587,1415,0.361,1639.2
35,35,2010-11,CLE,2886,6647,1489,0.342,1648.2
36,36,2010-11,DAL*,3069,6463,1768,0.365,1575.2
37,37,2010-11,DEN*,3145,6613,1704,0.388,1718.7
38,38,2010-11,DET,3056,6647,1256,0.376,1629.3
39,39,2010-11,GSW,3251,7047,1749,0.392,1805.6
40,40,2010-11,HOU,3170,6975,1843,0.367,1640.8
41,41,2010-11,IND*,3003,6787,1653,0.354,1781.9
42,42,2010-11,LAC,3015,6594,1519,0.338,1732.7
